epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,785.465,0.88523,0.7858,0.92025,0.6198,0.55953,0.59818,0.39807,1.38474,1.53961,1.01532,0.000195093,0.000195093,0.000195093
43,800.072,0.86902,0.76114,0.91634,0.58243,0.52765,0.56077,0.35083,1.49034,1.95913,1.04413,0.000190684,0.000190684,0.000190684
44,814.677,0.86838,0.7491,0.91544,0.57059,0.59735,0.598,0.38797,1.41158,1.48901,1.01698,0.00018624,0.00018624,0.00018624
45,829.408,0.86024,0.75112,0.91389,0.59011,0.56296,0.57078,0.39857,1.2713,1.55501,0.99238,0.000181764,0.000181764,0.000181764
46,843.991,0.86403,0.76254,0.91291,0.59641,0.54669,0.57628,0.40655,1.24637,1.55838,0.9788,0.000177261,0.000177261,0.000177261
47,858.721,0.82738,0.72029,0.90366,0.57128,0.54301,0.56194,0.38801,1.36412,1.88533,1.00891,0.000172736,0.000172736,0.000172736
48,873.576,0.84424,0.72623,0.90624,0.5309,0.54865,0.55852,0.3958,1.25194,1.65664,0.97248,0.000168193,0.000168193,0.000168193
49,888.254,0.83643,0.72861,0.90786,0.55565,0.56149,0.56164,0.4053,1.25735,1.61979,0.98583,0.000163636,0.000163636,0.000163636
50,902.912,0.83359,0.71544,0.90602,0.56301,0.52469,0.55512,0.40912,1.18248,1.71159,0.96293,0.00015907,0.00015907,0.00015907
51,917.593,0.80788,0.69743,0.89808,0.60572,0.52899,0.56028,0.39422,1.24791,1.74649,0.97755,0.0001545,0.0001545,0.0001545
52,932.157,0.80731,0.68692,0.89774,0.59947,0.55279,0.58061,0.41595,1.23007,1.64492,0.97903,0.00014993,0.00014993,0.00014993
53,946.708,0.79327,0.67581,0.89479,0.54634,0.56727,0.56713,0.37931,1.44105,1.65008,1.03122,0.000145364,0.000145364,0.000145364
54,961.381,0.81576,0.69227,0.89865,0.57846,0.51474,0.5554,0.39634,1.28354,1.9611,0.98747,0.000140807,0.000140807,0.000140807
55,976.013,0.79283,0.67643,0.89233,0.51995,0.53936,0.55999,0.4092,1.20329,1.73355,0.96551,0.000136264,0.000136264,0.000136264
56,990.61,0.77212,0.64696,0.88492,0.55743,0.53635,0.55194,0.36924,1.48851,2.06295,1.06234,0.000131739,0.000131739,0.000131739
57,1005.16,0.77022,0.64758,0.88783,0.64543,0.56132,0.58897,0.43453,1.20161,1.74611,0.98182,0.000127236,0.000127236,0.000127236
58,1019.72,0.76346,0.63278,0.88394,0.58535,0.52768,0.5527,0.34638,1.56278,2.08559,1.08067,0.00012276,0.00012276,0.00012276
59,1034.4,0.76124,0.63784,0.88504,0.57013,0.54508,0.57041,0.38265,1.38786,1.76829,1.0272,0.000118316,0.000118316,0.000118316
60,1049.13,0.75184,0.62734,0.88062,0.58289,0.55557,0.56666,0.36472,1.52985,1.71593,1.07745,0.000113907,0.000113907,0.000113907
61,1063.8,0.74933,0.61907,0.88227,0.59436,0.54312,0.56114,0.38304,1.38416,1.85245,1.02876,0.000109538,0.000109538,0.000109538
62,1078.37,0.73941,0.60918,0.87748,0.55151,0.5193,0.54259,0.38497,1.31511,1.98281,1.00733,0.000105214,0.000105214,0.000105214
63,1092.95,0.72966,0.59922,0.8746,0.5301,0.52531,0.53091,0.37458,1.3378,2.08789,1.01466,0.000100938,0.000100938,0.000100938
64,1107.5,0.73409,0.59994,0.88036,0.51391,0.50608,0.53082,0.3531,1.44087,2.13275,1.04042,9.6715e-05,9.6715e-05,9.6715e-05
65,1122.02,0.72267,0.59531,0.87546,0.56065,0.52401,0.53863,0.3851,1.30725,1.99952,1.01149,9.25491e-05,9.25491e-05,9.25491e-05
66,1136.54,0.72045,0.58463,0.87253,0.52035,0.50565,0.52647,0.38375,1.2688,2.22453,0.99481,8.84444e-05,8.84444e-05,8.84444e-05
67,1151.06,0.71359,0.58671,0.87051,0.53777,0.51477,0.54157,0.38323,1.30406,1.8567,0.99824,8.44048e-05,8.44048e-05,8.44048e-05
68,1165.61,0.71687,0.59031,0.87308,0.57034,0.51242,0.53936,0.38545,1.287,2.14143,0.99799,8.04345e-05,8.04345e-05,8.04345e-05
69,1180.46,0.70954,0.58322,0.87213,0.51333,0.52927,0.53427,0.37663,1.31346,2.03081,1.00747,7.65372e-05,7.65372e-05,7.65372e-05
70,1194.97,0.70095,0.57617,0.86776,0.56654,0.50501,0.53402,0.38157,1.31636,2.20456,1.00457,7.27169e-05,7.27169e-05,7.27169e-05
71,1209.6,0.69733,0.56887,0.86734,0.50955,0.51414,0.51804,0.3831,1.21869,2.12707,0.98079,6.89772e-05,6.89772e-05,6.89772e-05
72,1224.08,0.69403,0.56572,0.8673,0.5154,0.52415,0.52976,0.38185,1.26797,2.00498,0.99252,6.5322e-05,6.5322e-05,6.5322e-05
73,1238.63,0.67755,0.55183,0.86106,0.57046,0.55088,0.55915,0.41659,1.20921,1.86859,0.98028,6.17548e-05,6.17548e-05,6.17548e-05
74,1253.19,0.68073,0.55351,0.86418,0.54328,0.51237,0.54123,0.39072,1.2609,2.05194,0.99603,5.82791e-05,5.82791e-05,5.82791e-05
75,1267.78,0.66798,0.54044,0.86039,0.55176,0.538,0.54696,0.39918,1.25271,1.95372,0.99255,5.48984e-05,5.48984e-05,5.48984e-05
76,1282.3,0.67032,0.53946,0.86065,0.57039,0.51297,0.53302,0.38127,1.29698,2.1706,1.00208,5.1616e-05,5.1616e-05,5.1616e-05
77,1296.92,0.66581,0.53641,0.86135,0.48859,0.48203,0.52302,0.38558,1.23244,2.31107,0.98255,4.84351e-05,4.84351e-05,4.84351e-05
78,1311.4,0.66346,0.54278,0.86168,0.54643,0.52111,0.53381,0.37827,1.30617,2.03065,1.00476,4.53588e-05,4.53588e-05,4.53588e-05
79,1326.04,0.66101,0.53993,0.85844,0.50595,0.49909,0.51654,0.37831,1.22677,2.1572,0.98492,4.23903e-05,4.23903e-05,4.23903e-05
80,1340.66,0.66536,0.54022,0.85916,0.53505,0.50176,0.51938,0.37273,1.27753,2.18555,1.00255,3.95324e-05,3.95324e-05,3.95324e-05
81,1355.27,0.63982,0.52392,0.85505,0.49371,0.51082,0.52447,0.37665,1.3072,2.12801,1.00634,3.6788e-05,3.6788e-05,3.6788e-05
