epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1701.93,0.88049,0.79011,0.92004,0.61033,0.54366,0.57869,0.37953,1.39777,1.77871,1.01404,0.000195093,0.000195093,0.000195093
43,1738.54,0.86865,0.76722,0.91699,0.57432,0.54287,0.57299,0.36576,1.43082,1.7851,1.02211,0.000190684,0.000190684,0.000190684
44,1775.12,0.89489,0.77062,0.92312,0.63128,0.53539,0.5817,0.40177,1.32063,1.52959,0.99355,0.00018624,0.00018624,0.00018624
45,1811.8,0.87478,0.75453,0.91798,0.5833,0.56543,0.56863,0.31291,1.84802,1.87238,1.17975,0.000181764,0.000181764,0.000181764
46,1848.33,0.87458,0.77216,0.9163,0.55523,0.56208,0.58,0.4186,1.17619,1.57067,0.95391,0.000177261,0.000177261,0.000177261
47,1884.88,0.82978,0.72535,0.90448,0.55924,0.55333,0.56495,0.39165,1.37417,1.80557,1.01151,0.000172736,0.000172736,0.000172736
48,1921.46,0.85135,0.72742,0.90885,0.59873,0.57069,0.5842,0.40773,1.26878,1.6737,0.98582,0.000168193,0.000168193,0.000168193
49,1957.97,0.8334,0.72637,0.90697,0.58175,0.53097,0.56579,0.34705,1.60385,1.94434,1.08103,0.000163636,0.000163636,0.000163636
50,1994.48,0.8371,0.71548,0.90643,0.62947,0.51026,0.56603,0.32459,1.77588,1.8987,1.14774,0.00015907,0.00015907,0.00015907
51,2031.05,0.82188,0.70377,0.90081,0.57113,0.56925,0.56876,0.38752,1.36255,1.68043,1.01677,0.0001545,0.0001545,0.0001545
52,2067.52,0.81678,0.69548,0.90031,0.58161,0.57056,0.58124,0.43,1.16653,1.62378,0.95796,0.00014993,0.00014993,0.00014993
53,2104.06,0.80211,0.67829,0.89671,0.59868,0.51471,0.56977,0.3706,1.46965,1.88858,1.04048,0.000145364,0.000145364,0.000145364
54,2140.66,0.82929,0.70227,0.90279,0.55578,0.51515,0.54877,0.38397,1.26284,2.03173,0.98398,0.000140807,0.000140807,0.000140807
55,2177.3,0.79577,0.67527,0.89291,0.57228,0.54253,0.56606,0.39439,1.33997,1.82941,1.01811,0.000136264,0.000136264,0.000136264
56,2213.71,0.77051,0.64114,0.88523,0.56875,0.51172,0.54808,0.3841,1.33109,1.99699,1.01177,0.000131739,0.000131739,0.000131739
57,2250.22,0.78591,0.64937,0.89129,0.5251,0.56053,0.55166,0.39047,1.29899,1.72782,1.0018,0.000127236,0.000127236,0.000127236
58,2286.71,0.77089,0.63679,0.88539,0.57884,0.51711,0.55288,0.32969,1.67134,2.20082,1.11073,0.00012276,0.00012276,0.00012276
59,2323.26,0.76724,0.63695,0.88638,0.56651,0.53462,0.55009,0.39854,1.19761,1.87784,0.97964,0.000118316,0.000118316,0.000118316
60,2359.88,0.75849,0.62978,0.88241,0.5943,0.54668,0.56203,0.39957,1.28395,1.82168,0.99535,0.000113907,0.000113907,0.000113907
61,2396.54,0.76502,0.6305,0.88593,0.54726,0.53373,0.55649,0.40461,1.22762,1.6911,0.98076,0.000109538,0.000109538,0.000109538
62,2432.97,0.73873,0.61074,0.87724,0.61807,0.56231,0.58919,0.41597,1.26988,1.85694,0.98852,0.000105214,0.000105214,0.000105214
63,2469.36,0.7362,0.59873,0.87672,0.55661,0.51038,0.53889,0.35216,1.48491,2.08548,1.06042,0.000100938,0.000100938,0.000100938
64,2505.91,0.74354,0.59932,0.88249,0.56219,0.51467,0.54736,0.38298,1.33362,2.04684,1.00154,9.6715e-05,9.6715e-05,9.6715e-05
